Total Population,Female,Aged_18_64,Median_Age,Family_Households,Average_household_size,Now_married,High_school_graduate,Some_college_associates,bachelors_degree,graduate_degree,Foreign_born,Civilian_labor_force,Mean_travel_time,Per_capita_income,Internet_Access,Teacher_Wages,Pupil_Teacher_Ratio,Black
4874747,51.6,61.1,38.9,65.4,2.58,46.6,31.1,29.9,16,9.6,169066,52.9,24.6,26498,78.1,50391,15.81,0.27
739795,47.9,63.7,34.5,66.8,2.84,48.2,27.6,35.2,18,10.8,58187,60.2,19.6,34222,86.1,68138,14.89,0.03
7016270,50.3,59.6,37.7,64.7,2.69,46.9,24.1,33.7,18.3,11,924900,56.1,25.6,29420,85.7,47403,23.51,0.04
3004279,50.7,59.8,38.1,65.5,2.53,49.2,34,29.3,15,8.4,140078,54.6,21.6,25316,73,48304,15.19,0.15
39536653,50.3,63.1,36.5,68.5,2.98,46.6,20.8,28.9,21.1,12.6,10653414,59.5,29.8,35046,87.7,79128,22.43,0.05
5607154,49.7,63.7,36.8,63.9,2.57,50.2,21.3,29.1,26,15.2,550768,64.6,25.9,36345,88.2,51808,16.37,0.04
3588184,51.2,62.6,40.9,64.7,2.56,46.9,27.1,24.6,21.4,17.3,530245,61.4,26.4,42029,85.5,73147,12.61,0.1
961939,51.6,60.6,40.1,65.9,2.62,47.4,32.4,26.7,18,13.5,98493,55.8,26.5,33887,86.2,60214,14.87,0.21
693972,52.6,70,34,42.4,2.32,28.1,17.2,15.7,23.9,33.4,101860,65.3,30.8,52500,82.7,75692,14.49,0.46
20984400,51.1,59.9,42,64.3,2.67,46.1,28.8,29.9,18.9,10.8,4379341,54.9,27.8,29838,83.2,47267,19.65,0.15
10429379,51.4,62.5,36.8,67.4,2.72,46.7,28.1,28.1,19,11.9,1065968,59.1,28.8,29668,82.7,55532,15.49,0.31
1427538,49.8,60.8,39.2,69.9,3.02,49.3,28.1,31.2,21.7,11.2,265565,59,27,33882,84.5,56651,16.84,0.01
1716943,49.8,58.9,36.3,67.1,2.7,53.5,28.2,35.9,18.2,8.5,101140,59.2,21,26386,82.5,47504,18.69,0.01
